Order_ID,Customer_ID,Product_ID,Product_Name,Quantity,Unit_Price,Discount_Amount,Tax_Amount,Shipping_Charge,Payment_Mode,Order_Status,Total_Amount,Order_Date_New,Customers_name,Gender,Age,Email,Phone,City,State,Country,Pincode,Registration_Date,Membership_label,Loyalty_Points,Preferred_Device,Date_of_Birth_New,Payment_ID,Payment_Status,tarnsaction_fee,Refund_Amount,Refund_Date_New,Payments_Dates,Category,Sub_Category,Brand,SKU,Cost_Price,Selling_Price,Profit_Margin,Discount,Stock_Quantity,Reorder_Level,Product_Rating,Product_Status,Launch_Dates_New
ORD-001,0000-01,PD-001,Niviea Fitness Model 1,4,18044,1719,1817,50,Debit Card,Delivered,72324,2023-11-20,Kiran Iyer,Female,41,kiran1@example.com,9602097676,Mumbai,Maharashtra,India,600348,45741,New,10,Mobile App,1984-08-02,PAY-30001,Failed,216.07,6488.0,2023-08-25,2023-11-20,Sports,Fitness,Niviea,SKU-SPO-0001,6561,8849,0.25856,7,1821,139,4.1,Active,2025-01-29
ORD-001,0000-01,PD-001,Niviea Fitness Model 1,4,18044,1719,1817,50,Debit Card,Delivered,72324,2023-11-20,Kiran Iyer,Female,41,kiran1@example.com,9602097676,Mumbai,Maharashtra,India,600348,45741,New,10,Mobile App,1984-08-02,PAY-30001,Failed,216.07,6488.0,2023-08-25,2023-11-20,Sports,Fitness,Niviea,SKU-SPO-0001,6561,8849,0.25856,7,1821,139,4.1,Active,2025-01-29
ORD-002,0000-02,PD-251,Lotus Skincare Model 251,2,33721,4842,609,50,Debit Card,Returned,63259,2023-03-30,Amit Iyer,Female,61,amit2@example.com,9602097677,Delhi,Delhi,India,587677,45466,Elite,550,Mobile Mobile App,1964-10-01,PAY-30002,Success,244.63,0.0,,2023-03-30,Beauty,Skincare,Lotus,SKU-BEA-0251,21927,30599,0.283408,30,1702,150,4.3,Active,2022-03-02
ORD-002,0000-02,PD-251,Lotus Skincare Model 251,2,33721,4842,609,50,Debit Card,Returned,63259,2023-03-30,Amit Iyer,Female,61,amit2@example.com,9602097677,Delhi,Delhi,India,587677,45466,Elite,550,Mobile Mobile App,1964-10-01,PAY-30002,Success,244.63,0.0,,2023-03-30,Beauty,Skincare,Lotus,SKU-BEA-0251,21927,30599,0.283408,30,1702,150,4.3,Active,2022-03-02
ORD-003,0000-03,PD-251,Lotus Skincare Model 251,1,34317,2405,262,150,Net Banking,Cancelled,32324,2023-07-19,Kiran Verma,Female,53,kiran3@example.com,9602097678,Bengaluru,Karnataka,India,399261,45007,New,13,Desktop site,1972-06-29,PAY-30003,Success,152.88,0.0,,2023-07-19,Beauty,Skincare,Lotus,SKU-BEA-0251,21927,30599,0.283408,30,1702,150,4.3,Active,2022-03-02
ORD-003,0000-03,PD-251,Lotus Skincare Model 251,1,34317,2405,262,150,Net Banking,Cancelled,32324,2023-07-19,Kiran Verma,Female,53,kiran3@example.com,9602097678,Bengaluru,Karnataka,India,399261,45007,New,13,Desktop site,1972-06-29,PAY-30003,Success,152.88,0.0,,2023-07-19,Beauty,Skincare,Lotus,SKU-BEA-0251,21927,30599,0.283408,30,1702,150,4.3,Active,2022-03-02
ORD-004,0000-04,PD-327,IKEA Decor Model 327,1,35048,66,436,50,Credit Card,Delivered,35468,2023-10-18,Vikas Das,Other,31,vikas4@example.com,9602097679,Jaipur,Rajasthan,India,124837,45913,VIP,7851,Mobile Mobile App,1994-06-05,PAY-30004,Success,77.2,0.0,,2023-10-18,Home,Decor,IKEA,SKU-HOM-0327,18863,20238,0.0679415,16,78,33,3.9,Discontinued,2023-04-06
ORD-004,0000-04,PD-327,IKEA Decor Model 327,1,35048,66,436,50,Credit Card,Delivered,35468,2023-10-18,Vikas Das,Other,31,vikas4@example.com,9602097679,Jaipur,Rajasthan,India,124837,45913,VIP,7851,Mobile Mobile App,1994-06-05,PAY-30004,Success,77.2,0.0,,2023-10-18,Home,Decor,IKEA,SKU-HOM-0327,18863,20238,0.0679415,16,78,33,3.9,Discontinued,2023-04-06
ORD-005,0000-05,PD-481,Croma Tablet Model 481,3,7441,4146,282,150,COD,Delivered,18609,2023-05-31,Kavita Das,Female,63,kavita5@example.com,9602097680,Delhi,Delhi,India,266446,44987,VIP,7842 pts,Mobile App,1963-01-30,PAY-30005,Success,13.26,0.0,,2023-05-31,Electronics,Tablet,Croma,SKU-ELE-0481,19291,25086,0.231005,55,785,111,2.6,Active,2025-11-12
ORD-005,0000-05,PD-481,Croma Tablet Model 481,3,7441,4146,282,150,COD,Delivered,18609,2023-05-31,Kavita Das,Female,63,kavita5@example.com,9602097680,Delhi,Delhi,India,266446,44987,VIP,7842 pts,Mobile App,1963-01-30,PAY-30005,Success,13.26,0.0,,2023-05-31,Electronics,Tablet,Croma,SKU-ELE-0481,19291,25086,0.231005,55,785,111,2.6,Active,2025-11-12
ORD-006,0000-06,PD-167,Philips Kitchen Model 167,1,28790,3965,651,50,Debit Card,Delivered,25526,2023-10-23,Amit Sharma,Female,20,amit6@example.com,9602097681,Pune,Maharashtra,India,179937,45300,Elite,552,Desktop site,2006-02-05,PAY-30006,Success,246.93,0.0,,2023-10-23,Home,Kitchen,Philips,SKU-HOM-0167,9314,21289,0.562497,21,1982,157,4.0,Active,2023-09-01
ORD-006,0000-06,PD-167,Philips Kitchen Model 167,1,28790,3965,651,50,Debit Card,Delivered,25526,2023-10-23,Amit Sharma,Female,20,amit6@example.com,9602097681,Pune,Maharashtra,India,179937,45300,Elite,552,Desktop site,2006-02-05,PAY-30006,Success,246.93,0.0,,2023-10-23,Home,Kitchen,Philips,SKU-HOM-0167,9314,21289,0.562497,21,1982,157,4.0,Active,2023-09-01
ORD-007,0000-07,PD-265,Herbalsco Makeup Model 265,4,13417,2766,1375,100,Net Banking,Delivered,52377,2023-05-23,Rahul Verma,Male,58,rahul7@example.com,9602097682,Bengaluru,Karnataka,India,985358,45129,Elite,552,Mobile App,1967-10-05,PAY-30007,Success,20.68,0.0,,2023-05-23,Beauty,Makeup,Herbalsco,SKU-BEA-0265,3705,8381,0.557929,45,872,45,4.2,Active,2025-10-13
ORD-007,0000-07,PD-265,Herbalsco Makeup Model 265,4,13417,2766,1375,100,Net Banking,Delivered,52377,2023-05-23,Rahul Verma,Male,58,rahul7@example.com,9602097682,Bengaluru,Karnataka,India,985358,45129,Elite,552,Mobile App,1967-10-05,PAY-30007,Success,20.68,0.0,,2023-05-23,Beauty,Makeup,Herbalsco,SKU-BEA-0265,3705,8381,0.557929,45,872,45,4.2,Active,2025-10-13
ORD-008,0000-08,PD-473,Roadster Watches Model 473,1,7717,2441,1645,150,Debit Card,Delivered,7071,2023-06-23,Rahul Kumar,Other,22,rahul8@example.com,9602097683,Ahmedabad,Gujarat,India,757411,45935,New,15,Desktop site,2003-10-19,PAY-30008,Success,204.08,0.0,,2023-06-23,Fashion,Watches,Roadster,SKU-FAS-0473,15200,19853,0.234373,37,1446,177,4.4,Active,2024-09-14
